Date,Day,Top 10 Gross,Percent Change vs Prior Day,Number of Films in Release,#1 Release,Gross
Jan 25,Sunday,"$9,630,716",-47.9%,36,Mercy,"$1,816,034"
Jan 24,Saturday,"$18,475,199",+12.7%,36,Mercy,"$3,987,768"
Jan 23,Friday,"$16,400,144",+292.6%,36,Mercy,"$5,005,376"
Jan 22,Thursday,"$4,177,668",-13.6%,40,Avatar: Fire and Ash,"$802,830"
Jan 21,Wednesday,"$4,837,074",-34.2%,38,Avatar: Fire and Ash,"$1,012,647"
Jan 20,Tuesday,"$7,356,004",-55.2%,38,Avatar: Fire and Ash,"$1,536,220"
Jan 19MLK Day,Monday,"$16,416,598",-29.5%,43,Zootopia 2,"$3,664,528"
Jan 18,Sunday,"$23,278,375",-14.7%,43,Avatar: Fire and Ash,"$5,310,230"
Jan 17,Saturday,"$27,302,414",+24.2%,42,Avatar: Fire and Ash,"$5,988,962"
Jan 16,Friday,"$21,988,655",+247.8%,40,28 Years Later: The Bone Temple,"$5,596,864"
Jan 15,Thursday,"$6,322,678",-10.7%,37,Avatar: Fire and Ash,"$1,481,101"
Jan 14,Wednesday,"$7,084,087",-33.5%,37,Avatar: Fire and Ash,"$1,728,662"
Jan 13,Tuesday,"$10,644,874",+64.1%,37,Avatar: Fire and Ash,"$2,567,765"
Jan 12,Monday,"$6,487,724",-71.7%,37,Avatar: Fire and Ash,"$1,640,012"
Jan 11,Sunday,"$22,960,132",-38.3%,37,Avatar: Fire and Ash,"$6,497,780"
Jan 10,Saturday,"$37,228,758",+52.3%,37,Avatar: Fire and Ash,"$9,923,065"
Jan 9,Friday,"$24,444,540",+195.5%,38,Avatar: Fire and Ash,"$5,081,427"
Jan 8,Thursday,"$8,272,911",-15.2%,33,Avatar: Fire and Ash,"$2,541,443"
Jan 7,Wednesday,"$9,756,139",-31.7%,34,Avatar: Fire and Ash,"$2,887,228"
Jan 6,Tuesday,"$14,289,278",+18.1%,34,Avatar: Fire and Ash,"$4,529,556"
Jan 5,Monday,"$12,103,615",-62.1%,34,Avatar: Fire and Ash,"$3,655,199"
Jan 4,Sunday,"$31,908,123",-35.3%,35,Avatar: Fire and Ash,"$11,048,150"
Jan 3,Saturday,"$49,313,674",+8.5%,33,Avatar: Fire and Ash,"$16,336,950"
Jan 2,Friday,"$45,439,292",-2.6%,33,Avatar: Fire and Ash,"$14,034,307"
Jan 1New Year's Day,Thursday,"$46,662,609",+69.3%,33,Avatar: Fire and Ash,"$15,903,826"
